Company,Licence Number,Licence Status,Surface Location,UWI,Field/Area Name,Pool/Deposit Name,"Final Total Depth, m",Last Volumetric Activity Date,"Last Annual Oil Prod, m³","Last Annual Gas Prod, 10³m³","Last Annual Water Prod, m³",,status,,SCVF or GM History,Well Deviation,Cement Top,Casing Failure History,Well Age,Suspended Well Status  Date,H2S,Land Use,Protection of Useable Water Aquifers,Proximity to Nearest Water Well,Well Accessibility,TVD (mKB),Well Operation type,TOTAL SCORE,,SCVF or GM History (4),Well Deviation (3),Cement Top (3),Casing Failure History (3),Well Age (3),Suspended Well Status  Date (3),H2S (4),Land Use (4),Protection of Useable Water Aquifers(3),Proximity to Nearest Water Well (2) ,Well Accessibility (3),TVD (mKB) (2),Well Operation type (3),total score
385417 Alberta Ltd. 0NG5,41821,Issued,02-02-047-03W5,00/02-02-047-03W5/0,,,"1,036.30",,,,,,Suspended,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud Pre- 1975,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 200m,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1720,,20,3,21,6,18,3,28,16,15,10,9,8,15,1720
385417 Alberta Ltd. 0NG5,41821,Issued,02-02-047-03W5,00/02-02-047-03W5/2,PEMBINA,COMMINGLED POOL 003,"1,036.30",2015-07-01,26.6,198.5,202.1,,Suspended,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud Pre- 1975,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 200m,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1720,,20,3,21,6,18,3,28,16,15,10,9,8,15,1720
385417 Alberta Ltd. 0NG5,86976,Issued,13-18-048-02W5,00/13-18-048-02W5/0,PEMBINA,COMMINGLED POOL 003,948,2015-07-01,183.3,3.9,82.2,,Suspended,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,Flowing oil well,1620,,20,3,21,6,12,3,28,16,15,8,9,6,15,1620
385417 Alberta Ltd. 0NG5,98650,Issued,12-16-048-02W5,00/12-16-048-02W5/0,PEMBINA,COMMINGLED POOL 003,935,2015-07-01,245.3,14.8,247.6,,Suspended,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,Flowing oil well,1620,,20,3,21,6,12,3,28,16,15,8,9,6,15,1620
385417 Alberta Ltd. 0NG5,99983,Issued,02-16-048-02W5,00/02-16-048-02W5/0,PEMBINA,COMMINGLED POOL 003,928,2015-07-01,172.4,91,"2,454.40",,Suspended,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,Flowing oil well,1620,,20,3,21,6,12,3,28,16,15,8,9,6,15,1620
385417 Alberta Ltd. 0NG5,105274,Issued,14-16-048-02W5,00/14-16-048-02W5/0,PEMBINA,BSL BR UND,925,1992-12-01,,,,,Suspended,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,Aug 1991 - Aug 1994,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1620,,20,3,21,6,12,12,28,16,15,8,9,6,6,1620
385417 Alberta Ltd. 0NG5,105274,Issued,14-16-048-02W5,00/14-16-048-02W5/2,PEMBINA,COMMINGLED POOL 003,925,,,,,,Suspended,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,Aug 1991 - Aug 1994,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1620,,20,3,21,6,12,12,28,16,15,8,9,6,6,1620
385417 Alberta Ltd. 0NG5,118314,Amended,16-18-048-02W5,00/16-18-048-02W5/0,PEMBINA,COMMINGLED POOL 003,"1,756.00",2015-07-01,235.2,68.7,361.7,,Suspended,,Not Tested,Vertical with well logs,C.T. > 1000 mKB,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1590,,20,3,18,6,12,3,28,16,15,6,9,8,15,1590
385417 Alberta Ltd. 0NG5,134442,Issued,08-32-047-03W5,02/08-32-047-03W5/0,PEMBINA,COMMINGLED POOL 003,"1,585.00",2002-08-01,6.3,0.3,20,,Abandoned,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud pre-1970,Before August 1975,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 50m,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1940,,20,3,21,6,21,18,28,16,15,14,9,8,15,1940
385417 Alberta Ltd. 0NG5,134442,Issued,08-32-047-03W5,02/08-32-047-03W5/2,PEMBINA,BELLY RIVER P,"1,585.00",2014-05-01,82.1,9.6,110.3,,Suspended,,Not Tested,Unknown,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1986-1997,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1710,,20,21,15,6,9,3,28,16,15,6,9,8,15,1710
